id,mode,carrier,origin,destination,departDate,promisedDate,arrivalDate,distanceKm,weightKg,costUsd,lane,riskLevel,commodity
SH-A001,Air,ACME Logistics,Nanjing,Frankfurt,2024-01-15T10:00:00Z,2024-01-16T14:00:00Z,2024-01-19T16:30:00Z,8500,1200,8500,CN->DE,High,Electronics
SH-A002,Air,ACME Logistics,Shanghai,Amsterdam,2024-01-18T08:00:00Z,2024-01-19T12:00:00Z,2024-01-22T14:00:00Z,8900,2100,9500,CN->NL,High,Electronics
SH-A003,Air,ACME Logistics,Nanjing,Frankfurt,2024-01-20T15:00:00Z,2024-01-21T18:00:00Z,2024-01-24T20:00:00Z,8500,1800,8200,CN->DE,High,Electronics
SH-A004,Air,ACME Logistics,Shanghai,Frankfurt,2024-01-22T11:00:00Z,2024-01-23T15:00:00Z,2024-01-26T17:00:00Z,8900,1950,8800,CN->DE,High,Electronics
SH-A005,Air,ACME Logistics,Nanjing,Amsterdam,2024-01-25T09:00:00Z,2024-01-26T13:00:00Z,2024-01-29T15:00:00Z,8500,2200,9200,CN->NL,High,Electronics
SH-A006,Air,ACME Logistics,Shanghai,Frankfurt,2024-01-28T14:00:00Z,2024-01-29T18:00:00Z,2024-02-01T20:00:00Z,8900,1600,8500,CN->DE,High,Electronics
SH-A007,Air,ACME Logistics,Nanjing,Amsterdam,2024-01-30T07:00:00Z,2024-01-31T11:00:00Z,2024-02-03T13:00:00Z,8500,2400,9700,CN->NL,High,Electronics
SH-A008,Air,ACME Logistics,Shanghai,Frankfurt,2024-02-01T16:00:00Z,2024-02-02T20:00:00Z,2024-02-05T22:00:00Z,8900,1800,8700,CN->DE,High,Electronics
SH-G001,Air,Global Express,Beijing,Frankfurt,2024-01-15T13:00:00Z,2024-01-16T17:00:00Z,2024-01-16T16:45:00Z,8200,1450,7200,CN->DE,Low,Electronics
SH-G002,Air,Global Express,Beijing,Amsterdam,2024-01-18T10:00:00Z,2024-01-19T14:00:00Z,2024-01-19T13:30:00Z,8500,1650,7500,CN->NL,Low,Electronics
SH-G003,Air,Global Express,Beijing,Frankfurt,2024-01-20T16:00:00Z,2024-01-21T20:00:00Z,2024-01-21T19:45:00Z,8200,2100,7800,CN->DE,Low,Electronics
SH-G004,Air,Global Express,Beijing,Amsterdam,2024-01-22T12:00:00Z,2024-01-23T16:00:00Z,2024-01-23T15:20:00Z,8500,1950,7600,CN->NL,Low,Electronics
SH-T001,Ocean,Pacific Lines,Los Angeles,Tokyo,2024-01-10T08:00:00Z,2024-01-20T12:00:00Z,2024-01-23T14:30:00Z,9100,15000,3500,US->JP,Med,Automotive
SH-T002,Ocean,Pacific Lines,Los Angeles,Tokyo,2024-01-17T14:00:00Z,2024-01-27T18:00:00Z,2024-01-31T20:15:00Z,9100,18000,3800,US->JP,Med,Automotive
SH-T003,Ocean,Pacific Lines,Los Angeles,Tokyo,2024-01-25T09:00:00Z,2024-02-04T13:00:00Z,2024-02-08T15:45:00Z,9100,16500,3600,US->JP,Med,Automotive
SH-T004,Ocean,Pacific Lines,Los Angeles,Tokyo,2024-02-01T11:00:00Z,2024-02-11T15:00:00Z,2024-02-15T17:30:00Z,9100,19000,3700,US->JP,Med,Automotive
SH-T005,Ocean,Pacific Lines,Los Angeles,Tokyo,2024-02-08T07:00:00Z,2024-02-18T11:00:00Z,2024-02-22T13:15:00Z,9100,17200,3550,US->JP,Med,Automotive
SH-T006,Ocean,Pacific Lines,Los Angeles,Tokyo,2024-02-15T13:00:00Z,2024-02-25T17:00:00Z,2024-03-01T19:00:00Z,9100,18500,3750,US->JP,Med,Automotive
SH-R001,Air,Regional Air,Munich,Milan,2024-01-12T10:00:00Z,2024-01-12T18:00:00Z,2024-01-12T17:30:00Z,650,800,1200,DE->IT,Low,Medical Devices
SH-R002,Air,Regional Air,Munich,Milan,2024-01-19T14:00:00Z,2024-01-19T22:00:00Z,2024-01-19T21:45:00Z,650,950,1280,DE->IT,Low,Medical Devices
SH-R003,Air,Regional Air,Munich,Milan,2024-01-26T09:00:00Z,2024-01-26T17:00:00Z,2024-01-26T16:30:00Z,650,720,1100,DE->IT,Low,Medical Devices
SH-R004,Rail,European Rail,Munich,Milan,2024-01-12T10:00:00Z,2024-01-13T18:00:00Z,2024-01-13T17:45:00Z,650,12000,180,DE->IT,Low,Electronics
SH-R005,Rail,European Rail,Munich,Milan,2024-01-19T14:00:00Z,2024-01-20T22:00:00Z,2024-01-20T21:30:00Z,650,15000,210,DE->IT,Low,Electronics
SH-F001,Ocean,Mediterranean Lines,Genoa,Dubai,2024-01-05T08:00:00Z,2024-01-15T16:00:00Z,2024-01-15T15:30:00Z,4200,22000,4200,IT->AE,Med,Textiles
SH-F002,Ocean,Mediterranean Lines,Genoa,Dubai,2024-01-20T14:00:00Z,2024-01-30T22:00:00Z,2024-01-30T21:15:00Z,4200,24000,5200,IT->AE,Med,Textiles
